Year,Player,Pos,Age,Tm,G,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,3P%,FT%,Pick,GS%,FGA/48,3PA/48,FTA/48,PF/48,MPG
1980.0,Abdul Jeelani,SF,25.0,POR,77.0,0.563,0.011000000000000001,0.361,11.5,11.6,1.5,1.8,15.2,24.6,3.8,0.141,0.05,0.789,61.0,0.345292023063154,21.088646967340594,0.22395023328149302,7.614307931570762,5.785381026438569,16.7012987012987
1980.0,Adrian Dantley,SF,23.0,UTA,68.0,0.635,0.002,0.415,11.3,12.3,1.8,0.3,13.5,27.8,10.5,0.18899999999999997,0.05,0.8420000000000001,6.0,0.8129967176454267,22.743455497382197,0.03590127150336574,9.44203440538519,3.787584143605086,39.3235294117647
1980.0,Alex English,SF,26.0,IND,78.0,0.536,0.005,0.239,13.1,13.9,1.4,1.4,14.8,23.4,5.3,0.105,0.05,0.789,23.0,0.6364054048315858,22.25072886297376,0.1199500208246564,5.317784256559767,4.118284048313202,30.78205128205128
1980.0,Allan Bristow,SF,28.0,UTA,82.0,0.534,0.009000000000000001,0.31,13.0,21.4,1.9,0.1,16.7,20.0,4.4,0.091,0.05,0.8109999999999999,21.0,0.580904745548572,16.354166666666668,0.14583333333333334,5.0625,4.395833333333333,28.097560975609756
1980.0,Allen Leavell,PG,22.0,HOU,77.0,0.56,0.028999999999999998,0.337,4.8,26.3,2.8,0.7,21.4,17.8,4.0,0.091,0.158,0.8140000000000001,61.0,0.5700271889292969,14.831841733396137,0.42958078191238813,4.996702779086199,4.45407442298634,27.571428571428573
1980.0,Alvan Adams,C,25.0,PHO,75.0,0.5710000000000001,0.002,0.27,15.4,21.6,2.3,1.4,18.2,21.9,7.0,0.155,0.05,0.797,4.0,0.5976326507213133,19.37269372693727,0.04428044280442804,5.2250922509225095,5.247232472324724,28.906666666666666
1980.0,Alvin Scott,SF,24.0,PHO,79.0,0.493,0.01,0.405,9.6,9.3,1.7,2.2,20.6,13.6,1.7,0.062,0.05,0.779,61.0,0.3409994090787773,11.08825786646201,0.11051419800460477,4.49424405218726,3.7206446661550263,16.49367088607595
1980.0,Anthony Roberts,SF,24.0,DEN,23.0,0.42700000000000005,0.006,0.331,11.7,5.6,1.2,0.3,11.9,19.0,0.1,0.009000000000000001,0.05,0.65,21.0,0.4368624682895851,17.876543209876544,0.09876543209876544,5.925925925925926,5.135802469135802,21.130434782608695
1980.0,Armond Hill,PG,26.0,ATL,79.0,0.484,0.009000000000000001,0.33899999999999997,3.5,27.4,2.5,0.2,25.7,13.0,2.5,0.057,0.05,0.8490000000000001,9.0,0.5474833183367629,9.889101338432123,0.09177820267686423,3.3499043977055454,5.988527724665392,26.481012658227847
1980.0,Artis Gilmore,C,30.0,CHI,48.0,0.643,0.0,0.6709999999999999,15.5,13.0,0.9,2.1,16.7,20.7,5.6,0.172,0.05,0.7120000000000001,61.0,0.6753690010457646,15.704081632653061,0.0,10.53061224489796,5.112244897959184,32.666666666666664
1980.0,Austin Carr,SG,31.0,CLE,77.0,0.49700000000000005,0.006999999999999999,0.205,5.5,13.2,1.1,0.1,10.6,24.6,2.0,0.059000000000000004,0.05,0.738,1.0,0.428258768884705,25.248902821316612,0.180564263322884,5.176175548589342,3.6112852664576804,20.714285714285715
1980.0,Ben Poquette,C,24.0,UTA,82.0,0.5720000000000001,0.004,0.295,13.9,7.7,0.9,3.9,13.9,13.6,4.9,0.099,0.05,0.8320000000000001,36.0,0.5922505413600675,11.565772669220944,0.04086845466155811,3.4125159642401024,5.782886334610472,28.646341463414632
1980.0,Bernard Toone,PF,23.0,PHI,23.0,0.402,0.109,0.156,14.5,13.8,1.5,2.2,19.0,27.2,-0.1,-0.036000000000000004,0.05,0.8,37.0,0.11146285199158137,24.774193548387096,2.7096774193548385,3.870967741935484,7.741935483870968,5.391304347826087
1980.0,Bill Cartwright,C,22.0,NYK,82.0,0.608,0.0,0.466,12.6,7.0,0.7,1.7,13.2,20.6,9.7,0.14800000000000002,0.05,0.797,3.0,0.7942057068046883,18.514285714285716,0.0,8.624761904761906,4.251428571428571,38.41463414634146
1980.0,Bill Robinzine,PF,27.0,KCK,81.0,0.5479999999999999,0.003,0.379,14.7,4.5,2.6,0.7,14.9,20.7,5.5,0.13699999999999998,0.05,0.73,10.0,0.4892979497372376,18.103286384976528,0.050078247261345854,6.860719874804381,7.787167449139281,23.666666666666668
1980.0,Bill Willoughby,SF,22.0,CLE,78.0,0.522,0.02,0.278,12.0,6.2,1.0,2.3,11.7,15.4,3.0,0.099,0.05,0.7559999999999999,19.0,0.38353961715589535,15.159640635798201,0.2985487214927436,4.212854181064271,6.269523151347615,18.55128205128205
1980.0,Billy Knight,SF,27.0,IND,75.0,0.589,0.021,0.363,9.8,11.4,2.0,0.3,13.6,19.7,5.8,0.145,0.267,0.809,21.0,0.526512159998943,18.144502617801045,0.37696335078534027,6.5842931937172775,2.412565445026178,25.466666666666665
1980.0,Billy McKinney,PG,24.0,KCK,76.0,0.502,0.022000000000000002,0.29,3.5,24.8,2.0,0.2,14.7,18.2,2.7,0.096,0.1,0.805,61.0,0.36262092309103283,16.52813203300825,0.3600900225056264,4.789197299324831,3.1327831957989503,17.539473684210527
1980.0,Billy Paultz,C,31.0,SAS,84.0,0.507,0.001,0.27,14.5,10.7,1.4,2.0,13.2,15.3,4.0,0.08800000000000001,0.05,0.599,61.0,0.5397537242322746,14.730506155950753,0.02188782489740082,3.9835841313269493,4.6621067031463745,26.107142857142858
